published_date,title,text,url,fake
16-08-2018,NEW CONDOMS THAT CHANGE COLOUR WHEN EXPOSED TO STDs!,"NEW CONDOMS THAT CHANGE COLOUR WHEN EXPOSED TO STDs! In 2015 an eye-catching story about the award-winning creative idea of three teens in England: condoms that change color when they detect a sexually transmitted infection. Time reported that three British teens, two 14-year-olds and one 13-year-oldhave proposed an idea for a new type of condom that could detect sexually transmitted diseases amongst intimate partners. The proposal won the trio the top prize in the U.K.s TeenTech Awards, and they have already reportedly been approached by condom companies. Young people who do not like using condoms during sexual intercourse in are the main cause behind high rate of unwanted babies and the spread of sexual transmitted infections such as HIV. This new condom could potentially reduce the amount of people getting sexually transmitted infections! According to Tara Haelle a Pharma and Healthcare Contributor at Forbes the boys based their idea off a common testing method thats been in use for decades, enzyme-linked immunosorbent assay, or ELISA, reported the BBC. Already used in STI tests such as those for HIV and herpes, an ELISA uses enzymes that change color when both the antibody youre looking for and a third chemical are added.",https://www.mzansistories.com/2018/08/new-condoms-that-change-colour-when.html,True
24-10-2021,First South African Cape Epic winner since 2012,"South Africa has its first overall Cape Epic winner since 2012, after nearly a decade of European and American dominance. In a dramatic week’s racing, which saw extreme weather conditions, Matt Beers and his French partner, Jordan Sarrou, rolled over the Val de Vie finish to win the event on Sunday.The NinetyOne-songo-Specialized men’s team managed to sustain their excellent performance from a week ago, when they won the Cape Epic’s prologue on Table Mountain. For Beers, it will be a notable victory. He becomes only the second South African to win the Cape Epic overall. The last South African general classification winner was the late Burry Stander, who achieved back-to-back wins in 2011 and 2012, before being killed in a road accident while out on a training ride.Beers and Sarrou finished the race in a time of 25:17:28.2, putting them nearly nine minutes ahead of the German BULLS 2 team, who finished second. After a brutal day in Tulbagh, which saw temperature surge and Sarrou struggle, the NinetyOne-songo-Specialized team seemed threatened by stage 3 winners, Canyon Northwave. After their powerful ride, stomach issues prevented Canyon Northwave’s Martin Stošek from starting stage 4. With the pressure from Canyon Northwave’s form having dissipated, NinetyOne-songo-Specialized navigated the heavy rain and slippery trails around Wellington for stages 4 and 5, without incident.The race finished with Buff Scott’s Hans Becking and Jose Dias taking the Grand Finale stage, with Matt Beers and Jordan Sarrou second. Both teams communicated with each other as they entered the final part of stage 7, and there was no sprint finish for the line. Although the Cape Epic was smaller than before, the 17th edition delivered various stage winners and terrifically close racing. There were five overall stage winners, showing how evenly matched the pro riders were. For Matt Beers, this could be a pivotal moment in his career as he rode with great maturity. Especially after Jordan Sarrou’s day of suffering, in the extreme midweek week, with Beers, despite being two years younger, showing excellent race management for the team. ",https://www.news24.com//ride24/news/first-south-african-cape-epic-winner-since-2012-20211024,False
11-11-2018,"NEW DRUG THATS MORE POWERFUL THAN NYAOPE AND WEED, SIMPLY BOIL SANITARY PADS","NEW DRUG THATS MORE POWERFUL THAN NYAOPE AND WEED, SIMPLY BOIL SANITARY PADS NYAOPE and weed are drugs of choice among many of Mzansis youth, but Indonesian teens are getting high with the help of sanitary pads and nappies. According to Coconuts, the weird practice of boiling sanitary pads and nappies and drinkingthe water to get high first became popular in 2016 among teens in Central java. It fell out of fashion for a few years but now it seems the trend is back. It is apparently particularly favoured by kids between 13 and 16 years old who come from poor backgrounds. SEE DETAILS H-E-R-E Other drugs are unaffordable, and they are determined to experiment with mind-altering substances in whatever way they can. Central Java Narcotics Eradication Department Head Suprinarto told Okezone said: They used to dig through trash to find used menstrual pads, and then they boiled them. But now they buy new pads. Inside there are gels that soak up liquid  that gives the fly effect. The Indonesian Institute of Mental Health Addiction and Neuroscience warned that drinkingthe water containing the chemicals found in sanitary pads and nappies can be dangerous, potentially damaging the kidneys, the liver and causing cancer. Sanitary pad water is not on the list of illegal drugs in Indonesia and no arrests have been reported. ",https://www.mzansistories.com/2018/11/new-drug-thats-more-powerful-than.html,True
22-01-2017,Minnie Dlamini now joining SuperSport.,"Minnie Dlamini now joining SuperSport. TV PERSONALITY Minnie Dlamini has allegedly found a new home in Randburg, Joburg. According to sources close to the former SoccerZone presenter, shes now joining SuperSport. The source said they spotted Minnie at the SuperSport headquarters a few days ago. A mole also told Sunday Sun the KZN-born lady was also approached by e.tv. The pay channel approached Minnie a long time, but she was not yet ready, said the source. Another highly placed source said Minnie will again be hosting the Africa Magic Viewers Choice Awards in March, which also raised suspicions that DStv might be Minnies new home? The source said Minnie is perfect for the channel. Minnie was unavailable for comment and failed to respond to our SMSes. SuperSport spokesperson Clinton van der Berg said theres been rumours, but nothing formal has come of it. - See more at:",https://www.mzansistories.com/2017/01/minnie-dlamini-now-joining-supersport.html,True
15-10-2021,WATCH | Introduction to immunisation – lessons from rural South Africa,"About
a third of South Africans live in remote, rural areas.This
means reaching these areas is a crucial part of the national Covid vaccine
roll-out’s success.Here are five solutions from the provinces leading the immunisation
race.",https://www.news24.com//health24/medical/infectious-diseases/coronavirus/watch-introduction-to-immunisation-lessons-from-rural-south-africa-20211015,False
19-10-2021,"42 of the 53 people accused of holding two ministers, deputy minister hostage granted bail","Eleven of the 53 military veterans accused of taking two ministers and a deputy minister hostage have previous convictions ranging from robbery to murder, the Pretoria Magistrate's Court heard on Tuesday. Of the 53 accused, 42 were granted R500 bail each as the State did not oppose the applications. One accused did not appear in court as he was still in hospital and 11 others would formally apply for bail on Friday.The court heard that the 11 accused had previous convictions, with one of the accused out on parole for murder at the time of the alleged hostage situation. The State did not specify the convictions of each of the 11 accused, but said the crimes ranged from robbery to murder. Of those who had previous convictions according to the State, the legal representative of Zakhele Ximba, said the information was incorrect. They argued that Ximba did not have any previous convictions. State prosecutor, advocate Sanet Jacobson, said most of the accused's profiles were checked on the fingerprint database, but Ximba's profile was not. Some of the accused had their profiles checked via their ID numbers. She added that the Ximba had a pending matter as well.It was further alleged, that another accused, who was listed as having a previous conviction was granted amnesty in 1994. The court asked that the amnesty deal be submitted to it. It was not specified what the crime was. On Friday, the court was expected to hear whether the State was opposing the remaining bail applications. During the bail applications on Tuesday, advocate Dali Mpofu, SC, representing 30 of the accused, raised issues around what he said was the ""continuous assault of the accused"". He further alleged that cellphones were confiscated from the accused without their permission, while they were also forced to hand over their pin numbers for investigations.The court also heard that the charge sheet had been amended, with the accused now facing 27 charges. The 53 accused face one charge of conspiracy to kidnap and 26 charges of kidnapping.It is alleged that there were 26 people at the meeting, who were allegedly held hostage. Originally, it was contended that only Minister of Defence Thandi Modise, her deputy, Thabang Makwetla, Minister in the Presidency Mondli Gungubele and two bodyguards were allegedly held hostage. It was also reiterated by the State that the possibility of adding terrorism related charges had not been ruled out.If a decision was taken to add terrorism charges, they would first have to be authorised by the National Director of Public Prosecutions before adding them to the charge sheet, Jacobson added.News24 previously reported the hostage drama started at 19:15 last Thursday at St George's Hotel when a group of military veterans demanded an audience with President Cyril Ramaphosa and his deputy, David Mabuza, to address their concerns.Modise, Makwetla, Gungubele were allegedly held hostage for close to three hours.The group of veterans, who met with the government, was demanding millions in reparations for their role in the anti-apartheid struggle.The group included MKMVA members as well as former members of the Pan Africanist Congress' Azanian People's Liberation Army (APLA) and Azapo's Azanian National Liberation Army (Azanla).The police earlier reported that 56 people were arrested, however in court, 52 accused were present, while one was in hospital.",https://www.news24.com//news24/southafrica/news/42-of-the-53-people-accused-of-holding-two-ministers-deputy-minister-hostage-granted-bail-20211019,False
18-04-2020,Private and Confidential Conversations; Who is wrong and what is the solution?,"I have a serious problem that is eating me alive. I did things that i was never suppose to do. This is what happened: I am a 37-year-old man, i am married with 4 children. Last December i went to a party with my wife and kids. It was my father inlaws Birthday party. Me and my wife were given separate rooms. I was given a room to share with my brother in law. He is 22-year-old and still at University. Colgate Internship Programme Applications I went to sleep at around 00:40. The same time with my brother in law. I took a shower first and after me he took a shower. I was drunk and he was drunk so we started talking inside Blankets. He started to rub his hands on my pen1s while k1ss1ng my neck slowly. I was too drunk so i didn’t stop him because it felt good by then. CAREER OPPORTUNITIES: Apply for Toyota Learnership Programme He ended up penetrating me from behind. When i said no he told me that he will give me a chance to penetrate him and that i will enjoy it. The devil made him to allow him to sleep with me. He did it again and again until we both got tired. He then said he will give me a chance in the morning. When i woke up in the morning he was gone. Meaning he made me a fool because he did me but i didn’t do him. APPLY FOR TymeBank: Career Opportunities I can’t sleep at night when i remember about what that boy did to me. What must i do, must i open a case of rape against the boy? Because i feel that i was rape. But this will break my family apart and cause a lot of embarrassment. How can i make that boy pay? NB: WE DIDN’T EDIT THIS LETTER ",http://whatsappgroup.co.za/2020/04/18/private-and-confidential-conversations-who-is-wrong-and-what-is-the-solution/,True
14-10-2021,"People who burnt taxis, brandished weapons in Gqeberha must be arrested - Cele","Police Minister Bheki Cele on Thursday called for those responsible for the violence in Gqeberha to be brought to book. ""There were guns and firearms that were brandished here. Some of those weapons were fired. The law was broken here. Properties were destroyed, there was arson, minibus taxis and shops were burnt. There are few things that police will have to follow,"" he said during a visit to the area on Thursday.""Police will have to find all those who committed arson and destruction of properties.""On Wednesday, vehicles and properties were ablaze after a group of businessmen clashed with taxi operators.It is alleged that violence was triggered following a motor vehicle accident between a taxi and a sedan belonging to a local businessman.The accident then led to the torching of eight taxis. Two other taxis and a sedan were damaged, including some shops.During his visit, Cele engaged with the Nelson Mandela Bay Regional Taxi Council and members of the business and Somali communities in a bid to quell tensions.Cele said his officers would have to find those who brandished weapons while minibus taxis were in flames.""Police will have to find those guns that were fired. We are told that Durban Street in Gqeberha is notorious in many ways, with people misbehaving and doing all illegal things. We will be flooding the police to come and clean this street.""Beyond that, we will be increasing the capacity of the police in this street,"" he said.Nelson Mandela Bay Regional Taxi Council secretary-general Andile Andries told News24 that their meeting with local businessmen and the Somali community had been ""fruitful"".""In our view, we saw that this fight had the potential to spread rapidly and affect the country as a whole, hence we decided to act swiftly,"" Andries said.""We won't point any fingers on who was wrong however, the law should take its course.""He further thanked Cele for his intervention in trying to find an amicable solution. Eastern Cape police spokesperson Colonel Priscilla Naidu said no one had been arrested. Naidu said they are investigating a case of public violence.“We can’t rule out if more cases would be opened. Police leadership in the province have intensified police visibility. At the moment, the situation is calm,"" Naidu said.",https://www.news24.com//news24/southafrica/news/people-who-burnt-taxis-brandished-weapons-in-gqeberha-must-be-arrested-cele-20211014,False
17-10-2021,PICS |  'Please don't kill me' - woman pleads with gunmen before being killed in Cape Town mass...,"The bloodbath left one woman dead and seven others injured. The youngest casualty is only five-years-old. David Mafate, who lives at the house where the shooting occurred, said they were having a party when the assailants opened fire on guests outside.""Why would gangsters randomly shoot at us? No one has any links to gangsters. Everyone was so terrified when they started shooting. It was something out of the movies - I realised that I could've died if I didn't run inside,"" he said. Lentegeur community policing forum (CPF) chairperson Byron de Villiers urged anyone with information on the shooting to contact the authorities. ""We can't have people shooting randomly in our communities. It is assumed that the shooting is gang related, but it is not confirmed,"" he said. Meanwhile, police have implemented its 72-hour activation plan to find the culprits behind the shooting.Western Cape police spokesperson Colonel Andre Traut said the gunmen opened fire from a green Honda Ballade. Traut said:He added additional resources had been deployed to the Lentegeur policing precinct to ""stabilise the situation"" and support detectives with their investigation. ""These forces will remain in the area until we are satisfied with the progress of our operational endeavours,"" he said. ",https://www.news24.com//news24/southafrica/news/pics-please-dont-kill-me-woman-pleads-with-gunmen-before-being-killed-in-cape-town-mass-shooting-20211017,False
16-03-2020,"ANC Takes R9 Billion From PRASA to Pay for e-Tolls! With No Brakes, Cellphones, Radios, Guards, SAPS or Money, The PRASA Train Has Derailed & Crashed Yet ANC Vultures Continue To Plunder it!","While Vodacom has cancelled its contract with PRASA for the provision of cellphones, which train drivers used to communicate with control rooms, it has also been revealed that ANC took R9 Billion from PRASA to pay for SANRAL e-tolls, according to Steve Harris from UNTU, which is a union within Prasa. Train drivers use these cellphones to get the verbal go-ahead to use routes to prevent accidents, because they can’t use the radio base system because that is not working either! Drivers now have to use their own cellphones, which is against PRASA rules (and probably against their insurance too). Harris says that the lives of train drivers are in danger when they can’t get authority to use routes and have to wait at crossings, because commuters who are angry about late trains have attacked train drivers in the past. He says criminals also prey on waiting commuters whilst they wait for late trains. Violence is #TheAfricanWay and the solution to everything it seems! Harris also made a shock revelation that the ANC regime has taken R9 Billion from PRASA’s budget the last 2 years, and gave it to SANRAL to operate their e-toll system because motorists don’t want to pay for it. Now that is quite a revelation. Harris also says there are no signs of PRASA security guards who are supposed to protect PRASA facilities and commuters after PRASA cancelled its tenders with security companies, at the end of October last year. The High Court then took a decision to extend the contracts until PRASA can put new contracts in place but PRASA appealed the ruling, meaning Prasa’s original decision stands. The infrastructure and facilities of PRASA are currently being carried away train rail by train rail and brick by brick. Cables are being dug up and it’s not hard to see how empty pieces of land with grass growing, won’t have new shack squatter camps emerging some time in future, where PRASA now has depots, rail lines and stations. #TheAfricanWay, the systematic consumption and destruction of all things that was once built up by white people, and given on a silver platter to the black majority is relentless. Harris also said there are no signs of the SAPS railways unit although such a unit does exist. Harris says he really doesn’t know where this SAPS unit is. But we can imagine them sitting and eating buckets of KFC chicken in an office somewhere, drawing big salaries, can’t we? Harris also said he can’t understand why there is an independent body called the Railway Regulator, which is supposed to look after train safety. It is no doubt just another statutory body brought into life so that more black ANC supporters can have high paying jobs, Mr Harris… Transport Minister Fikile Mbalula Transport Minister Fikile Mbalula who earns R1,724,897 per year! PICTURE: ESA ALEXANDER/THE TIMES",https://sa-news.com/anc-takes-9-billion-from-prasa-to-pay-for-e-tolls-with-no-brakes-cellphones-radios-guards-saps-or-money-the-prasa-train-has-derailed-crashed-yet-anc-vultures-continue-to-plunder-it/,True
